UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
34,L47213,298.9,309.3,1665,32.5,93,0,0,1,0
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,1
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,1
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,1
38,L47217,298.8,309.1,1439,39.2,104,0,0,1,0
39,H29452,298.9,309.2,1379,50.7,106,0,1,0,0
40,L47219,298.8,309.1,1350,52.5,111,0,0,1,0
41,L47220,298.8,309.1,1362,45.4,113,0,0,1,0
42,L47221,298.8,309.1,1368,50.8,115,0,0,1,0
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,1
44,H29457,298.8,309.2,1372,48.5,120,0,1,0,0
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,1
46,L47225,298.8,309.1,1489,49.1,128,0,0,1,0
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,1
48,L47227,298.8,309.1,1418,46.3,133,0,0,1,0
49,H29462,298.8,309.2,1425,53.9,135,0,1,0,0
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,1
51,L47230,298.9,309.1,2861,4.6,143,1,0,1,0
52,L47231,298.9,309.1,1383,54.9,145,0,0,1,0
53,H29466,298.8,309.0,1497,43.8,147,0,1,0,0
54,L47233,298.7,309.0,1565,35.1,152,0,0,1,0
55,L47234,298.7,309.0,1691,30.1,154,0,0,1,0
56,L47235,298.8,309.1,1512,40.7,156,0,0,1,0
57,L47236,298.8,309.1,1477,42.4,158,0,0,1,0
58,L47237,298.8,309.1,1513,40.3,160,0,0,1,0
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,1
60,L47239,298.8,309.1,1378,54.4,165,0,0,1,0
61,L47240,298.8,309.1,1393,52.6,167,0,0,1,0
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,1
63,L47242,298.8,309.0,1829,22.9,172,0,0,1,0
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,1
65,L47244,299.0,309.1,1523,38.6,177,0,0,1,0
66,L47245,299.0,309.1,1394,45.1,179,0,0,1,0
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,1
68,H29481,298.8,308.9,1466,44.1,184,0,1,0,0
69,L47248,298.8,308.9,1527,32.4,189,0,0,1,0
70,L47249,298.9,309.0,1410,65.7,191,1,0,1,0
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,1
72,L47251,298.9,309.1,1452,45.5,196,0,0,1,0
73,L47252,298.9,309.1,1369,44.4,198,0,0,1,0
74,L47253,299.0,309.1,1592,35.0,200,0,0,1,0
75,L47254,298.9,309.0,1601,32.3,202,0,0,1,0
76,L47255,298.8,308.9,1379,46.7,204,0,0,1,0
77,L47256,298.8,308.9,1461,47.9,206,0,0,1,0
78,L47257,298.8,308.9,1455,41.3,208,1,0,1,0
79,L47258,298.8,308.9,1398,51.5,0,0,0,1,0
80,L47259,298.8,308.9,1402,37.9,2,0,0,1,0
81,H29494,298.8,308.8,1445,49.9,4,0,1,0,0
82,L47261,298.9,308.9,1450,47.5,9,0,0,1,0
83,L47262,298.9,308.9,1453,40.8,11,0,0,1,0
84,L47263,299.0,309.0,1469,40.1,13,0,0,1,0
85,L47264,298.9,308.9,1422,47.6,15,0,0,1,0
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,1
87,H29500,299.0,309.0,1436,43.9,20,0,1,0,0
88,L47267,299.0,309.0,1544,31.8,25,0,0,1,0
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,1
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,1
91,L47270,298.9,308.9,1753,25.8,33,0,0,1,0
92,L47271,298.9,308.9,1830,24.9,35,0,0,1,0
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,1
94,L47273,299.1,309.0,1450,43.0,40,0,0,1,0
95,L47274,299.0,308.9,1622,31.9,42,0,0,1,0
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,1
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,1
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,1
99,L47278,298.9,308.8,1529,32.7,53,0,0,1,0
100,L47279,298.8,308.8,1523,44.4,55,0,0,1,0
101,L47280,298.8,308.9,1852,25.0,57,0,0,1,0
102,L47281,298.8,308.8,1991,20.7,59,0,0,1,0
103,L47282,298.8,308.8,1555,40.6,61,0,0,1,0
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,1
105,L47284,298.8,308.7,1450,43.4,66,0,0,1,0
106,L47285,298.8,308.7,1591,31.1,68,0,0,1,0
107,L47286,298.8,308.7,1445,48.5,70,0,0,1,0
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,1
109,H29522,298.9,308.8,1621,32.7,75,0,1,0,0
110,L47289,298.9,308.7,1572,34.1,80,0,0,1,0
111,L47290,298.8,308.6,1872,22.5,82,0,0,1,0
112,H29525,298.7,308.6,1499,43.5,84,0,1,0,0
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,1
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,1
115,L47294,298.8,308.6,1680,29.4,95,0,0,1,0
116,L47295,298.8,308.6,1431,45.7,97,0,0,1,0
117,L47296,298.9,308.7,1564,34.1,99,0,0,1,0
118,L47297,298.8,308.6,1599,33.0,101,0,0,1,0
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,1
120,L47299,298.7,308.5,1467,40.7,106,0,0,1,0
121,L47300,298.9,308.7,1433,44.7,108,0,0,1,0
122,L47301,298.9,308.7,1558,41.2,110,0,0,1,0
123,L47302,299.0,308.8,1310,50.7,112,0,0,1,0
124,L47303,298.9,308.7,1546,43.4,114,0,0,1,0
125,L47304,298.9,308.7,1727,29.4,116,0,0,1,0
126,L47305,298.9,308.6,1560,32.2,118,0,0,1,0
127,L47306,299.0,308.6,1329,60.5,120,0,0,1,0
128,L47307,298.9,308.6,1413,46.5,122,0,0,1,0
129,L47308,299.0,308.6,1587,38.6,124,0,0,1,0
130,L47309,298.9,308.5,1559,34.3,126,0,0,1,0
131,L47310,298.8,308.4,1473,41.1,128,0,0,1,0
132,L47311,298.8,308.4,1737,27.7,130,0,0,1,0
133,M14992,298.7,308.4,1441,43.2,132,0,0,0,1
134,M14993,298.7,308.4,1430,49.6,135,0,0,0,1
135,L47314,298.8,308.4,1369,53.0,138,0,0,1,0
136,M14995,298.8,308.5,1711,28.5,140,0,0,0,1
137,H29550,298.7,308.5,1420,45.7,143,0,1,0,0
138,L47317,298.7,308.6,1297,55.3,148,0,0,1,0
139,H29552,298.8,308.6,1449,49.4,150,0,1,0,0
140,L47319,298.8,308.6,1268,55.8,155,0,0,1,0
141,L47320,298.8,308.6,1511,36.1,157,0,0,1,0
142,L47321,298.7,308.5,1544,35.2,159,0,0,1,0
143,M15002,298.6,308.4,1778,28.2,161,0,0,0,1
144,H29557,298.6,308.4,1407,50.5,164,0,1,0,0
145,M15004,298.6,308.4,1391,42.4,169,0,0,0,1
146,L47325,298.5,308.4,1513,33.6,172,0,0,1,0
147,H29560,298.5,308.4,1612,36.1,174,0,1,0,0
148,L47327,298.4,308.4,1515,40.1,179,0,0,1,0
149,M15008,298.3,308.3,1379,48.0,181,0,0,0,1
150,L47329,298.4,308.3,1473,39.9,184,0,0,1,0
151,L47330,298.4,308.3,1422,42.7,186,0,0,1,0
152,M15011,298.4,308.2,1463,37.6,188,0,0,0,1
153,M15012,298.4,308.2,1584,41.0,191,0,0,0,1
154,L47333,298.4,308.2,1850,27.0,194,0,0,1,0
155,L47334,298.4,308.2,1528,36.2,196,0,0,1,0
156,H29569,298.4,308.2,1987,19.8,198,0,1,0,0
157,M15016,298.4,308.1,1495,46.0,203,0,0,0,1
158,H29571,298.4,308.2,1478,43.5,206,0,1,0,0
159,M15018,298.4,308.2,1499,40.0,211,0,0,0,1
160,L47339,298.4,308.2,1471,47.0,214,0,0,1,0
161,L47340,298.4,308.2,1282,60.7,216,1,0,1,0
162,L47341,298.3,308.1,1412,52.3,218,1,0,1,0
163,L47342,298.3,308.1,1586,35.5,0,0,0,1,0
164,M15023,298.4,308.2,1468,43.8,2,0,0,0,1
165,M15024,298.5,308.3,1440,43.6,5,0,0,0,1
166,L47345,298.5,308.4,1733,26.0,8,0,0,1,0
167,H29580,298.4,308.2,1612,32.6,10,0,1,0,0
168,H29581,298.4,308.3,1458,42.9,15,0,1,0,0
169,L47348,298.4,308.3,1433,62.3,20,1,0,1,0
170,L47349,298.4,308.3,1318,59.1,22,0,0,1,0
171,M15030,298.4,308.2,1610,35.0,24,0,0,0,1
172,L47351,298.2,308.1,1462,50.8,27,0,0,1,0
173,M15032,298.1,308.0,1924,20.8,29,0,0,0,1
174,M15033,298.2,308.0,1591,33.7,32,0,0,0,1
175,L47354,298.2,308.1,1306,58.3,35,0,0,1,0
176,L47355,298.2,308.1,1382,43.5,37,0,0,1,0
177,L47356,298.2,308.1,1618,34.7,39,0,0,1,0
178,L47357,298.2,308.2,1988,21.4,41,0,0,1,0
179,L47358,298.2,308.2,1436,50.2,43,0,0,1,0
180,L47359,298.2,308.3,1304,49.8,45,0,0,1,0
181,L47360,298.2,308.3,1475,49.9,47,0,0,1,0
182,H29595,298.2,308.3,1824,24.2,49,0,1,0,0
183,M15042,298.1,308.2,1342,48.1,54,0,0,0,1
184,L47363,298.1,308.2,1485,40.7,57,0,0,1,0
185,L47364,298.2,308.2,1667,30.6,59,0,0,1,0
186,L47365,298.2,308.2,1446,38.2,61,0,0,1,0
187,L47366,298.1,308.3,1301,56.0,63,0,0,1,0
188,L47367,298.2,308.4,1379,43.1,65,0,0,1,0
189,L47368,298.3,308.5,1606,33.6,67,0,0,1,0
190,M15049,298.3,308.4,1539,43.4,69,0,0,0,1
191,L47370,298.2,308.4,1477,49.9,72,0,0,1,0
192,L47371,298.2,308.4,1666,34.6,74,0,0,1,0
193,H29606,298.2,308.4,1398,51.8,76,0,1,0,0
194,H29607,298.2,308.4,1678,34.6,81,0,1,0,0
195,M15054,298.2,308.5,2678,10.7,86,1,0,0,1
196,L47375,298.3,308.5,1453,42.9,89,0,0,1,0
197,H29610,298.3,308.6,1432,49.5,91,0,1,0,0
198,M15057,298.4,308.6,1527,40.9,96,0,0,0,1
199,L47378,298.4,308.7,1588,35.0,99,0,0,1,0
200,L47379,298.4,308.6,1433,47.1,101,0,0,1,0
201,L47380,298.4,308.6,1609,35.0,103,0,0,1,0
202,L47381,298.3,308.5,1575,41.2,105,0,0,1,0
203,M15062,298.4,308.5,1636,35.7,107,0,0,0,1
204,L47383,298.4,308.5,1490,37.9,110,0,0,1,0
205,L47384,298.4,308.5,1741,32.8,112,0,0,1,0
206,M15065,298.5,308.6,1344,53.0,114,0,0,0,1
207,L47386,298.5,308.7,1609,35.3,117,0,0,1,0
208,M15067,298.4,308.7,1421,60.7,119,1,0,0,1
209,L47388,298.4,308.6,1591,36.7,122,0,0,1,0
210,L47389,298.4,308.6,1477,44.0,124,0,0,1,0
211,L47390,298.4,308.7,1523,36.1,126,0,0,1,0
212,L47391,298.5,308.7,1575,33.9,128,0,0,1,0
213,H29626,298.4,308.7,1344,52.9,130,0,1,0,0
214,L47393,298.4,308.7,1386,44.9,135,0,0,1,0
215,M15074,298.3,308.6,1589,37.1,137,0,0,0,1
216,L47395,298.3,308.6,1548,40.3,140,0,0,1,0
217,L47396,298.3,308.6,1499,38.3,142,0,0,1,0
218,L47397,298.3,308.5,1664,31.6,144,0,0,1,0
219,L47398,298.3,308.6,1447,38.1,146,0,0,1,0
220,M15079,298.3,308.5,1434,46.2,148,0,0,0,1
221,L47400,298.3,308.5,1416,52.7,151,0,0,1,0
222,H29635,298.4,308.5,1827,24.3,153,0,1,0,0
223,L47402,298.4,308.6,1304,45.0,158,0,0,1,0
224,L47403,298.4,308.6,1569,34.4,160,0,0,1,0
225,L47404,298.3,308.6,1584,29.3,162,0,0,1,0
226,L47405,298.3,308.5,1362,53.8,164,0,0,1,0
227,L47406,298.3,308.4,1329,49.2,166,0,0,1,0
228,L47407,298.3,308.5,1539,36.1,168,0,0,1,0
229,M15088,298.3,308.5,1629,37.1,170,0,0,0,1
230,L47409,298.3,308.5,1538,32.2,173,0,0,1,0
231,L47410,298.3,308.6,1570,34.8,175,0,0,1,0
232,L47411,298.3,308.4,1408,43.1,177,0,0,1,0
233,L47412,298.2,308.4,1424,47.6,179,0,0,1,0
234,L47413,298.2,308.4,1512,34.9,181,0,0,1,0
235,L47414,298.2,308.4,1478,42.9,183,0,0,1,0
236,M15095,298.1,308.3,1680,33.7,185,0,0,0,1
237,L47416,298.1,308.3,1495,38.7,188,0,0,1,0
238,M15097,298.0,308.1,1552,36.6,190,0,0,0,1
239,L47418,297.9,308.1,1393,50.3,193,0,0,1,0
240,L47419,298.0,308.2,1611,30.6,195,0,0,1,0
241,M15100,298.0,308.1,1339,51.6,197,0,0,0,1
242,L47421,298.0,308.1,1777,24.3,200,0,0,1,0
243,L47422,298.0,308.2,1348,58.8,202,1,0,1,0
244,L47423,298.0,308.2,1442,44.1,204,0,0,1,0
245,M15104,298.0,308.2,1395,49.1,206,0,0,0,1
246,M15105,297.9,308.1,1627,31.4,209,0,0,0,1
247,L47426,297.9,308.1,1585,33.5,212,0,0,1,0
248,L47427,298.0,308.2,1469,45.5,214,0,0,1,0
249,L47428,298.0,308.3,1362,56.8,216,1,0,1,0
250,L47429,298.0,308.3,1405,56.2,218,1,0,1,0
251,L47430,298.0,308.3,1662,32.7,0,0,0,1,0
252,M15111,298.0,308.2,1466,42.6,2,0,0,0,1
253,L47432,298.0,308.2,1620,35.8,5,0,0,1,0
254,L47433,298.0,308.2,1357,48.2,7,0,0,1,0
255,L47434,298.0,308.2,1514,37.9,9,0,0,1,0
256,L47435,298.0,308.2,1489,40.4,11,0,0,1,0
257,L47436,298.1,308.3,1331,63.0,13,0,0,1,0
258,L47437,298.0,308.0,1615,29.5,15,0,0,1,0
259,L47438,298.1,308.2,1482,37.9,17,0,0,1,0
260,M15119,298.1,308.2,1420,63.9,19,1,0,0,1
261,M15120,298.2,308.3,1522,49.1,22,0,0,0,1
262,L47441,298.1,308.2,1654,32.1,25,0,0,1,0
263,M15122,298.1,308.2,1736,26.8,27,0,0,0,1
264,M15123,298.0,308.1,1587,32.3,30,0,0,0,1
265,L47444,298.1,308.2,1390,47.5,33,0,0,1,0
266,L47445,298.0,308.1,1454,37.1,35,0,0,1,0
267,H29680,298.0,308.1,1440,43.7,37,0,1,0,0
268,L47447,297.9,308.0,1954,21.1,42,0,0,1,0
269,H29682,297.9,308.0,1800,24.8,44,0,1,0,0
270,L47449,298.0,308.0,1524,37.0,49,0,0,1,0
271,H29684,298.0,308.0,1520,39.6,51,0,1,0,0
272,M15131,298.1,308.1,1452,40.8,56,0,0,0,1
273,L47452,298.1,308.1,1484,40.4,59,0,0,1,0
274,L47453,298.1,308.0,1426,46.0,61,0,0,1,0
275,L47454,298.1,308.0,1652,28.5,63,0,0,1,0
276,L47455,298.0,308.0,1401,54.7,65,0,0,1,0
277,M15136,298.0,307.9,1750,26.6,67,0,0,0,1
278,H29691,298.0,308.0,1479,50.7,70,0,1,0,0
279,M15138,298.0,308.0,1620,29.4,75,0,0,0,1
280,L47459,298.0,308.1,1819,23.4,78,0,0,1,0
281,M15140,298.1,308.1,1456,43.7,80,0,0,0,1
282,L47461,298.1,308.0,1626,36.5,83,0,0,1,0
283,M15142,298.1,308.1,1390,49.8,85,0,0,0,1
284,L47463,298.2,308.2,1469,43.0,88,0,0,1,0
285,L47464,298.2,308.3,2051,19.2,90,0,0,1,0
286,L47465,298.2,308.3,1568,36.0,92,0,0,1,0
287,L47466,298.2,308.3,1589,33.2,94,0,0,1,0
288,L47467,298.2,308.3,1805,31.6,96,0,0,1,0
289,H29702,298.2,308.4,1385,42.2,98,0,1,0,0
290,L47469,298.1,308.4,1436,46.7,103,0,0,1,0
291,L47470,298.1,308.4,1438,45.6,105,0,0,1,0
292,L47471,298.0,308.3,1473,42.6,107,0,0,1,0
293,L47472,298.1,308.4,1335,40.2,109,0,0,1,0
294,H29707,298.1,308.5,1392,44.8,111,0,1,0,0
295,M15154,298.1,308.5,1372,51.1,116,0,0,0,1
296,M15155,298.1,308.6,1716,30.7,119,0,0,0,1
297,L47476,298.0,308.5,1395,46.2,122,0,0,1,0
298,L47477,298.0,308.5,1713,25.3,124,0,0,1,0
299,H29712,297.9,308.5,2129,18.7,126,0,1,0,0
300,M15159,297.8,308.3,1567,35.6,131,0,0,0,1
301,L47480,297.8,308.4,1622,38.3,134,0,0,1,0
302,L47481,297.7,308.4,1740,27.1,136,0,0,1,0
303,H29716,297.8,308.4,1512,35.1,138,0,1,0,0
304,M15163,297.8,308.4,1479,43.5,143,0,0,0,1
305,L47484,297.8,308.4,1737,27.5,146,0,0,1,0
306,L47485,297.8,308.4,2129,19.2,148,0,0,1,0
307,L47486,297.8,308.4,1374,47.1,150,0,0,1,0
308,M15167,297.8,308.4,1579,36.6,152,0,0,0,1
309,L47488,297.9,308.5,1305,47.2,155,0,0,1,0
310,M15169,297.9,308.5,1449,40.8,157,0,0,0,1
311,H29724,298.0,308.6,1526,41.8,160,0,1,0,0
312,M15171,298.0,308.6,1453,44.1,165,0,0,0,1
313,L47492,297.9,308.6,1468,36.0,168,0,0,1,0
314,L47493,298.0,308.6,1313,50.8,170,0,0,1,0
315,M15174,297.9,308.5,1300,53.0,172,0,0,0,1
316,L47495,297.9,308.4,1646,40.6,175,0,0,1,0
317,L47496,297.8,308.4,1714,33.2,177,0,0,1,0
318,L47497,297.8,308.4,1685,28.4,179,0,0,1,0
319,L47498,297.8,308.4,1512,39.9,181,0,0,1,0
320,L47499,297.8,308.4,1612,32.1,183,0,0,1,0
321,H29734,297.8,308.4,1550,38.2,185,0,1,0,0
322,L47501,297.8,308.4,1518,32.5,190,0,0,1,0
323,L47502,297.8,308.5,1448,40.0,192,0,0,1,0
324,L47503,297.8,308.5,1561,46.3,194,0,0,1,0
325,M15184,297.8,308.5,1488,41.9,196,0,0,0,1
326,L47505,297.8,308.5,1699,27.8,199,0,0,1,0
327,L47506,297.7,308.5,1501,41.4,201,0,0,1,0
328,L47507,297.7,308.5,1373,56.7,203,1,0,1,0
329,H29742,297.6,308.4,1703,31.4,205,0,1,0,0
330,H29743,297.7,308.5,1720,29.9,210,0,1,0,0
331,M15190,297.6,308.4,1398,41.9,215,0,0,0,1
332,M15191,297.6,308.4,1391,51.9,218,0,0,0,1
333,M15192,297.6,308.3,1538,40.2,0,0,0,0,1
334,L47513,297.5,308.2,1647,31.3,3,0,0,1,0
335,M15194,297.5,308.1,1469,44.8,5,0,0,0,1
336,L47515,297.4,308.1,1749,25.9,8,0,0,1,0
337,M15196,297.6,308.2,1995,20.5,10,0,0,0,1
338,L47517,297.6,308.3,1742,27.7,13,0,0,1,0
339,L47518,297.5,308.2,1563,38.2,15,0,0,1,0
340,M15199,297.5,308.2,1713,32.2,17,0,0,0,1
341,L47520,297.4,308.1,1474,39.4,20,0,0,1,0
342,M15201,297.4,308.2,1530,32.6,22,0,0,0,1
343,L47522,297.4,308.2,1471,46.5,25,0,0,1,0
344,L47523,297.5,308.3,1388,48.6,27,0,0,1,0
345,M15204,297.5,308.2,2448,13.8,29,0,0,0,1
346,L47525,297.5,308.3,1585,32.9,32,0,0,1,0
347,M15206,297.5,308.3,1459,45.2,34,0,0,0,1
348,L47527,297.5,308.3,1544,40.8,37,0,0,1,0
349,L47528,297.6,308.3,1617,31.7,39,0,0,1,0
350,L47529,297.6,308.3,1595,34.3,41,0,0,1,0
351,H29764,297.6,308.3,1400,44.3,43,0,1,0,0
352,M15211,297.6,308.4,1611,31.0,48,0,0,0,1
353,M15212,297.6,308.4,1507,46.0,51,0,0,0,1
354,H29767,297.5,308.3,1674,30.0,54,0,1,0,0
355,L47534,297.6,308.3,1658,34.3,59,0,0,1,0
356,L47535,297.6,308.3,1623,36.9,61,0,0,1,0
357,M15216,297.6,308.4,1398,48.9,63,0,0,0,1
358,L47537,297.6,308.4,1517,34.2,66,0,0,1,0
359,M15218,297.6,308.3,1467,36.7,68,0,0,0,1
360,M15219,297.6,308.3,1567,34.6,71,0,0,0,1
361,M15220,297.5,308.3,1521,38.2,74,0,0,0,1
362,L47541,297.5,308.3,1596,36.8,77,0,0,1,0
363,H29776,297.6,308.3,1640,30.9,79,0,1,0,0
364,L47543,297.6,308.3,1438,47.8,84,0,0,1,0
365,L47544,297.6,308.4,1407,55.2,86,0,0,1,0
366,L47545,297.6,308.4,1353,57.5,88,0,0,1,0
367,M15226,297.6,308.5,1552,40.9,90,0,0,0,1
368,M15227,297.6,308.4,1569,38.3,93,0,0,0,1
369,L47548,297.5,308.4,1489,39.5,96,0,0,1,0
370,H29783,297.5,308.4,1587,36.1,98,0,1,0,0
371,M15230,297.5,308.3,1622,37.2,103,0,0,0,1
372,L47551,297.5,308.4,1604,38.1,106,0,0,1,0
373,M15232,297.4,308.3,1405,51.7,108,0,0,0,1
374,L47553,297.4,308.3,1412,42.0,111,0,0,1,0
375,L47554,297.4,308.3,1431,43.0,113,0,0,1,0
376,L47555,297.4,308.2,1533,37.4,115,0,0,1,0
377,M15236,297.4,308.2,1401,51.9,117,0,0,0,1
378,M15237,297.4,308.2,1424,53.9,120,0,0,0,1
379,L47558,297.3,308.2,1754,29.4,123,0,0,1,0
380,L47559,297.3,308.2,1754,26.8,125,0,0,1,0
381,L47560,297.5,308.3,2564,12.8,127,1,0,1,0
382,L47561,297.5,308.5,1546,40.4,129,0,0,1,0
383,L47562,297.5,308.5,1335,48.0,131,0,0,1,0
384,M15243,297.5,308.6,1842,27.0,133,0,0,0,1
385,L47564,297.5,308.5,1712,26.8,136,0,0,1,0
386,M15245,297.6,308.6,1414,45.4,138,0,0,0,1
387,L47566,297.6,308.7,1319,50.9,141,0,0,1,0
388,L47567,297.7,308.7,1249,60.4,143,0,0,1,0
389,L47568,297.6,308.7,1455,48.2,145,0,0,1,0
390,M15249,297.6,308.7,1408,54.8,147,0,0,0,1
391,L47570,297.6,308.7,1460,46.7,150,0,0,1,0
392,L47571,297.6,308.6,1491,38.1,152,0,0,1,0
393,M15252,297.6,308.5,1490,43.4,154,0,0,0,1
394,M15253,297.5,308.4,1350,52.2,157,0,0,0,1
395,L47574,297.5,308.4,1528,39.9,160,0,0,1,0
396,L47575,297.4,308.3,1571,37.7,162,0,0,1,0
397,L47576,297.4,308.3,1490,42.6,164,0,0,1,0
398,M15257,297.4,308.3,1774,28.9,166,0,0,0,1
399,H29812,297.4,308.3,1502,43.6,169,0,1,0,0
400,L47579,297.4,308.4,1392,49.7,174,0,0,1,0
401,L47580,297.4,308.5,2100,16.9,176,0,0,1,0
402,L47581,297.5,308.5,1722,30.4,178,0,0,1,0
403,L47582,297.4,308.6,1678,32.3,180,0,0,1,0
404,L47583,297.3,308.6,1273,59.8,182,0,0,1,0
405,L47584,297.3,308.6,1297,45.9,184,0,0,1,0
406,L47585,297.3,308.5,1350,57.6,186,0,0,1,0
407,L47586,297.4,308.6,1439,51.9,188,0,0,1,0
408,M15267,297.4,308.5,1600,42.1,190,0,0,0,1
409,M15268,297.4,308.6,1434,44.4,193,0,0,0,1
410,L47589,297.4,308.6,1459,41.3,196,0,0,1,0
411,M15270,297.5,308.6,1472,44.9,198,0,0,0,1
412,L47591,297.5,308.7,1429,44.3,201,0,0,1,0
413,L47592,297.5,308.6,1388,48.2,203,0,0,1,0
414,L47593,297.4,308.4,1573,34.5,205,0,0,1,0
415,L47594,297.4,308.4,1588,32.5,207,0,0,1,0
416,L47595,297.5,308.4,1511,42.8,209,0,0,1,0
417,L47596,297.4,308.5,1495,37.8,211,0,0,1,0
418,L47597,297.4,308.4,1394,50.1,213,0,0,1,0
419,L47598,297.4,308.4,2151,17.7,0,0,0,1,0
420,M15279,297.3,308.3,1501,38.2,2,0,0,0,1
421,M15280,297.3,308.3,1301,39.6,5,0,0,0,1
422,M15281,297.3,308.3,1657,31.1,8,0,0,0,1
423,L47602,297.3,308.3,1333,55.2,11,0,0,1,0
424,L47603,297.3,308.3,1484,43.9,13,0,0,1,0
425,L47604,297.3,308.4,1430,45.7,15,0,0,1,0
426,M15285,297.3,308.4,1665,28.9,17,0,0,0,1
427,L47606,297.4,308.5,1501,44.9,20,0,0,1,0
428,M15287,297.5,308.5,1496,42.2,22,0,0,0,1
429,M15288,297.6,308.6,1595,36.9,25,0,0,0,1
430,L47609,297.5,308.6,1208,62.3,28,0,0,1,0
431,L47610,297.5,308.6,1596,37.1,30,0,0,1,0
432,L47611,297.5,308.5,1446,41.9,32,0,0,1,0
433,M15292,297.6,308.5,1466,39.7,34,0,0,0,1
434,M15293,297.6,308.5,1848,23.7,37,0,0,0,1
435,M15294,297.5,308.5,1484,44.7,40,0,0,0,1
436,L47615,297.4,308.3,1493,41.2,43,0,0,1,0
437,L47616,297.3,308.3,1504,36.3,45,0,0,1,0
438,L47617,297.3,308.3,1538,38.5,47,0,0,1,0
439,L47618,297.4,308.4,1341,52.2,49,0,0,1,0
440,M15299,297.4,308.3,1535,34.6,51,0,0,0,1
441,L47620,297.4,308.5,1389,39.2,54,0,0,1,0
442,H29855,297.5,308.5,1393,46.6,56,0,1,0,0
443,L47622,297.4,308.5,1399,61.5,61,1,0,1,0
444,H29857,297.4,308.5,1469,45.1,63,0,1,0,0
445,L47624,297.4,308.4,1582,37.2,68,0,0,1,0
446,L47625,297.5,308.6,1793,26.7,70,0,0,1,0
447,L47626,297.5,308.6,1452,39.0,72,0,0,1,0
